"","claim","entity","name","X","year","dyad","claimdy","dispnum3","mid1","window5","window10","window20","claim1","outstanding.claim.5","outstanding.claim.10","outstanding.claim.20","X.1","loser","gainer","month","gaintype","procedur","contgain","area","pop","portion","losetype","contlose","entry","exit","number","indep","conflict","version","agreement","nonviolent.agreement","arbadj2","arbadj0","rivnumb","rivalry","totdisp","rivtyp2","rivtypold","scale","rivals","conttype","cap1","cap2","caprat","polity1","polity2","joint.dem","DispNum3","DispNum41","StAbb1","ccode1","StDay1","StMon1","StYear1","EndDay1","EndMon1","EndYear1","SideA1","RevState1","RevType11","RevType21","Fatality1","FataPre1","HiAct1","HostLev1","Orig1","DispNum42","StAbb2","ccode2","SideA2","RevState2","RevType12","RevType22","Fatality2","FataPre2","HiAct2","HostLev2","Orig2","region","chal","tgt","begclaim","endclaim","resolved","endviol","icowsal","icowsalc","salchal","saltgt","saltan","salint","salintc","salintt","midsiss","midsfat","warsiss","existing.claim","new.claim.1","new.claim.5","new.claim.10","new.claim.20","cname","match","partial"
"375",NA,824,NA,36572,1963,200820,NA,NA,0,0,0,0,0,0,0,0,12320,200,820,10,1,5,0,124967,778000,1,0,0,0,0,733,0,0,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.0014998,0.0371322,0.0403908198275351,10,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"376",NA,270,NA,12785,1867,255270,NA,NA,0,0,0,0,0,0,0,0,25176,270,255,7,1,5,1,329,49482,1,1,NA,0,0,184,0,0,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.0703193,NA,NA,-6,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"377",NA,696,NA,38979,1972,696696,NA,NA,0,0,0,0,0,0,0,0,45298,696,696,2,1,5,1,1690,24482,0,1,NA,0,0,779,0,0,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.0004038,0.0004038,1,-8,-8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"378",NA,835,NA,17935,1888,200835,NA,NA,0,0,0,0,0,0,0,0,12833,835,200,NA,0,2,0,5765,45000,1,1,NA,0,0,306,0,0,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.1886506,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"379",NA,510,NA,18006,1888,255511,NA,NA,0,0,0,0,0,0,0,0,26767,511,255,4,0,3,0,52000,NA,0,1,1,0,0,312,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0.1272868,NA,NA,-4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"380",NA,348,NA,16062,1880,348640,NA,NA,0,0,0,0,0,0,0,0,35001,348,640,11,1,3,1,1,200,0,1,1,0,0,253,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0.0185241,NA,NA,-10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"381",NA,510,NA,25858,1920,200255,NA,NA,0,0,0,0,0,0,0,0,4823,255,200,1,0,6,0,939361,5000000,1,0,0,0,0,501,0,0,4.01,0,0,0,0,410,200255,7,"RIVALRY","ENDURING",NA,1,5,0.1276359,0.0720215,1.77219163721944,8,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"382",NA,698,NA,35500,1958,698770,NA,NA,0,0,0,0,0,0,0,0,45480,698,770,9,1,3,1,1,8146,0,0,0,0,0,686,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0.0101953,NA,NA,NA,-10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"383",NA,700,NA,19165,1893,200700,NA,NA,0,0,0,0,0,0,0,0,10287,700,200,11,0,3,0,104980,NA,0,1,1,0,0,338,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0.1703931,NA,NA,7,-6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"384",NA,520,NA,18151,1889,200511,NA,NA,0,0,0,0,0,0,0,0,6557,511,200,NA,0,3,0,10000,NA,0,1,0,0,0,317,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0.1892983,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
