"","gainer","loser","year","pop","month","gaintype","procedur","entity","contgain","area","portion","losetype","contlose","entry","exit","number","indep","conflict","version","agreement","nonviolentagreement","year2","arbadj2","cap_1","cap_2","majpow1","majpow2","contig","colcont","colony1","colony2","cwongo","cwongonm","cwinit","cwinitnm","cwdynm","cwhost1","cwhost2","cwkeynum","cwrevis1","cwrevis2","cwrevt11","cwrevt21","cwrevt12","cwrevt22","cwfatal1","cwfatex1","cwfatal2","cwfatex2","cwhiact1","cwhiact2","cwoutcm","cwsettle","ter","claim","dyadnum","name","begclaim","resolved","endviol","homec","homet","offshore","contc","contt","entirecl","resource","stratloc","idenc","ident","histc","histt","dyad","panel","window5","window10","window20","outstanding.claim5","outstanding.claim10","outstanding.claim20"
"50273",200,530,1902,NA,5,0,3,530,0,292500,0,1,1,0,0,396,0,0,4.01,1,1,2,0,0.006563,0.161254,0,1,6,1,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200530,695,0,0,0,0,0,0
"50683",200,562,1843,121068,5,0,1,562,0,46620,1,1,NA,0,0,88,0,1,4.01,0,0,43,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200562,703,0,0,0,0,0,0
"50684",200,563,1877,815000,4,0,2,563,0,285363,1,1,NA,0,0,230,0,0,4.01,0,0,77,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200563,704,0,0,0,0,0,0
"50685",200,563,1884,NA,2,0,3,563,0,19500,0,1,1,0,0,266,0,0,4.01,1,1,84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200563,704,0,0,0,0,0,0
"50686",200,563,1902,1000000,5,0,1,563,0,286065,1,1,NA,0,0,397,0,1,4.01,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200563,704,0,0,0,0,0,0
"50687",200,564,1902,200000,5,0,1,564,0,129153,1,1,NA,0,0,398,0,1,4.01,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200564,705,0,0,0,0,0,0
"50707",200,570,1868,127700,12,0,2,570,0,21885,1,1,NA,0,0,196,0,0,4.01,0,0,68,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200570,707,0,0,0,0,0,0
"50794",200,572,1890,55000,NA,0,2,572,0,17363,1,1,NA,0,0,326,0,0,4.01,0,0,90,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200572,709,0,0,0,0,0,0
"51327",200,625,1899,2000000,12,0,1,625,0,2505823,1,1,NA,0,0,385,0,1,4.01,0,0,99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200625,718,0,0,0,0,0,0
"51597",200,640,1878,186084,12,0,3,352,0,9251,1,1,1,0,0,233,0,0,4.01,1,1,78,1,0.026685,0.228253,0,1,6,1,0,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200640,720,1,1,1,0,0,0
