"","gainer","loser","year","pop","month","gaintype","procedur","entity","contgain","area","portion","losetype","contlose","entry","exit","number","indep","conflict","version","agreement","nonviolentagreement","year2","arbadj2","cap_1","cap_2","majpow1","majpow2","contig","colcont","colony1","colony2","cwongo","cwongonm","cwinit","cwinitnm","cwdynm","cwhost1","cwhost2","cwkeynum","cwrevis1","cwrevis2","cwrevt11","cwrevt21","cwrevt12","cwrevt22","cwfatal1","cwfatex1","cwfatal2","cwfatex2","cwhiact1","cwhiact2","cwoutcm","cwsettle","ter","claim","dyadnum","name","begclaim","resolved","endviol","homec","homet","offshore","contc","contt","entirecl","resource","stratloc","idenc","ident","histc","histt","dyad","panel","window5","window10","window20","outstanding.claim5","outstanding.claim10","outstanding.claim20"
"71824",220,812,1893,600000,12,0,1,812,0,255000,1,1,NA,0,0,342,0,1,4.01,0,0,93,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220812,1027,0,0,0,0,0,0
"71881",220,815,1862,502116,6,0,3,8151,0,22380,0,1,1,0,0,158,0,1,4.01,1,0,62,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220815,1028,0,0,0,0,0,0
"71882",220,815,1867,477000,NA,0,1,8151,0,33864,0,1,1,0,0,181,0,1,4.01,0,0,67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220815,1028,0,0,0,0,0,0
"71883",220,815,1874,477000,3,0,1,8151,0,33864,0,1,1,0,0,220,0,1,4.01,0,0,74,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220815,1028,0,0,0,0,0,0
"71884",220,815,1883,9000000,8,0,2,815,0,90000,1,1,NA,0,0,264,0,1,4.01,0,0,83,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220815,1028,0,0,0,0,0,0
"74443",230,42,1861,200000,12,0,2,42,0,48734,1,1,NA,0,0,155,0,0,4.01,0,0,61,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23042,1081,0,0,0,0,0,0
"74471",230,200,1843,18000,NA,0,3,413,0,2034,1,0,0,0,0,91,0,0,4.01,1,1,43,0,0.298597,0.027025,1,0,6,1,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230200,1082,0,0,0,0,0,0
"74737",230,220,1916,9836,NA,0,3,602,0,33020,0,0,0,0,0,461,0,0,4.01,1,1,16,0,0.085814,0.009936,1,0,1,1,615,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230220,1083,0,0,0,0,0,0
"75546",230,600,1860,NA,9,0,2,605,0,1505,1,1,1,0,0,143,0,0,4.01,0,0,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230600,1092,1,1,1,0,0,0
"75547",230,600,1912,600000,11,0,2,602,1,26000,1,1,1,0,0,438,0,0,4.01,0,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230600,1092,1,1,1,0,0,0
"76015",235,200,1875,NA,7,0,3,541,0,650,0,0,0,0,0,223,0,0,4.01,1,1,75,0,0.235515,0.005681,1,0,6,1,750,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,1,"Delagoa Bay",1823,3,0,0,0,0,0,0,0,0,1,0,0,0,1,235200,1104,0,0,1,1,1,1
"76149",235,210,1859,850300,4,0,3,860,0,18989,1,0,0,0,0,136,0,0,4.01,1,1,59,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235210,1105,0,0,0,0,0,0
"76151",235,211,1885,NA,2,0,3,490,0,7298,0,0,0,0,0,284,0,0,4.01,1,1,85,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235211,1106,0,0,0,0,0,0
"76152",235,211,1891,NA,5,0,3,490,0,1,0,0,0,0,0,334,0,0,4.01,1,1,91,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235211,1106,0,0,0,0,0,0
"76153",235,211,1927,NA,7,0,3,490,0,3500,0,0,0,0,0,553,0,0,4.01,1,1,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,602,1,"Duizi Valley Strip",1909,4,0,0,0,0,-2,-2,0,0,1,0,0,0,1,235211,1106,0,0,0,0,0,0
"76348",235,230,1821,70000,11,0,3,165,0,269810,1,0,0,0,0,43,0,0,4.01,1,1,21,0,0.034272,0.009983,0,0,1,1,145,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235230,1108,0,0,1,0,0,0
"76633",235,255,1919,NA,9,0,3,541,0,1040,0,0,0,0,0,483,0,1,4.01,1,0,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235255,1109,0,0,1,0,0,0
"77050",235,511,1886,NA,NA,0,3,541,0,6000,0,1,0,0,0,294,0,0,4.01,1,1,86,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235511,1114,0,0,0,0,0,0
"80322",255,200,1890,2001,7,1,3,2249,1,2,1,0,0,0,0,329,0,0,4.01,1,1,90,0,0.179475,0.125959,1,1,5,1,452,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255200,1175,0,1,1,0,0,0
"80331",255,200,1899,NA,11,0,3,452,0,1,0,0,0,0,0,387,0,0,4.01,1,1,99,0,0.168645,0.126722,1,1,5,1,452,460,0,0,1,237,23701,4,1,237,1,0,2,NA,0,NA,0,0,0,0,15,0,7,1,NA,983,1,"German Solomon Islands",1895,4,0,0,0,1,-2,-2,0,0,1,0,0,0,1,255200,1175,1,1,1,1,1,1
"80809",255,220,1871,1549459,12,1,3,220,1,14452,0,1,1,0,0,206,0,1,4.01,1,0,71,0,0.137323,0.119848,1,1,1,6,0,0,1,88,1,2169,216901,5,5,88,0,1,0,NA,4,NA,6,NA,6,NA,20,20,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255220,1180,0,0,1,0,0,0
"80849",255,220,1911,1000000,11,0,3,470,0,259000,0,0,0,0,0,435,0,0,4.01,1,1,11,0,0.071319,0.137318,1,1,1,1,432,460,0,0,0,0,0,1,3,315,0,1,0,NA,1,NA,0,0,0,0,0,7,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255220,1180,1,1,1,0,0,0
"80873",255,220,1935,812030,3,1,5,256,1,1912,1,0,1,0,0,569,0,0,4.01,0,0,35,0,0.051832,0.102587,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255220,1180,1,1,1,0,0,0
"81168",255,230,1899,15069,12,0,3,980,0,405,0,0,0,0,0,388,0,0,4.01,1,1,99,0,0.016422,0.126722,0,1,6,1,411,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255230,1184,0,0,1,0,0,0
"81415",255,240,1866,1923492,7,1,1,240,1,38474,1,1,NA,0,0,174,0,0,4.01,0,0,66,0,0.003234,0.065842,0,1,1,6,0,0,0,0,0,0,0,5,5,261,0,1,0,NA,1,NA,4,NA,6,NA,20,20,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255240,1187,0,0,0,0,0,0
"81416",255,241,1867,181824,7,1,5,241,1,2383,1,1,NA,0,0,189,0,0,4.01,0,0,67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255241,1188,0,0,0,0,0,0
"81417",255,244,1867,282400,7,1,5,244,1,3691,1,1,NA,0,0,191,0,0,4.01,0,0,67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255244,1189,0,0,0,0,0,0
"81473",255,245,1871,4824421,1,1,5,245,1,76073,1,1,NA,0,0,209,0,0,4.01,0,0,71,0,0.004697,0.119848,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255245,1190,0,0,0,0,0,0
"81474",255,246,1867,98575,7,1,5,246,1,192,1,1,NA,0,0,183,0,0,4.01,0,0,67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255246,1191,0,0,0,0,0,0
"81475",255,247,1866,87518,8,1,2,247,1,101,1,1,NA,0,0,173,0,0,4.01,0,0,66,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255247,1192,0,0,0,0,0,0
"81476",255,248,1867,229941,7,1,5,248,1,352,1,1,NA,0,0,186,0,0,4.01,0,0,67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255248,1193,0,0,0,0,0,0
"81477",255,250,1849,65574,12,1,5,250,0,1173,1,1,NA,0,0,108,0,0,4.01,0,0,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255250,1194,0,0,0,0,0,0
"81478",255,252,1867,139287,7,1,5,252,1,1577,1,1,NA,0,0,187,0,0,4.01,0,0,67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255252,1195,0,0,0,0,0,0
"81479",255,253,1867,99060,7,1,5,253,1,2725,1,1,NA,0,0,185,0,0,4.01,0,0,67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255253,1196,0,0,0,0,0,0
"81480",255,254,1866,457571,8,1,2,254,1,4709,1,1,NA,0,0,172,0,0,4.01,0,0,66,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255254,1197,0,0,0,0,0,0
"81481",255,257,1867,295242,7,1,5,257,1,6291,1,1,NA,0,0,182,0,0,4.01,0,0,67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255257,1198,0,0,0,0,0,0
"81482",255,261,1867,742907,7,1,5,261,1,9407,1,1,NA,0,0,190,0,0,4.01,0,0,67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255261,1199,0,0,0,0,0,0
"81539",255,268,1867,58604,7,1,5,268,1,1121,1,1,NA,0,0,188,0,0,4.01,0,0,67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255268,1201,0,0,0,0,0,0
"81592",255,270,1867,49482,7,1,5,270,1,329,1,1,NA,0,0,184,0,0,4.01,0,0,67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255270,1203,0,0,0,0,0,0
"81781",255,290,1922,1299127,8,1,3,255,1,9702,0,1,1,0,0,538,0,0,4.01,1,1,22,0,0.018835,0.083896,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255290,1208,0,0,0,0,0,0
"81869",255,300,1866,544419,8,1,1,300,1,8537,0,1,0,0,0,171,0,1,4.01,0,0,66,0,0.057255,0.065842,1,1,1,6,0,0,1,261,0,0,0,5,5,261,0,1,0,NA,1,NA,6,NA,6,NA,20,20,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255300,1209,0,0,0,0,0,0
"81941",255,305,1938,6760000,3,1,2,305,1,83869,1,1,NA,0,0,573,0,0,4.01,0,0,38,0,0.005124,0.154222,0,1,1,6,0,0,0,0,0,0,0,1,4,11,0,1,0,NA,1,NA,0,0,0,0,0,14,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255305,1210,0,0,0,0,0,0
"82021",255,315,1938,3653292,9,1,3,315,1,28674,0,1,1,0,0,574,0,0,4.01,1,1,38,0,0.013048,0.154222,0,1,1,6,0,0,0,0,0,0,0,4,4,12,0,1,0,NA,1,NA,0,0,0,0,16,16,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255315,1212,1,1,1,0,0,0
"82022",255,315,1939,9807096,3,1,2,315,1,98909,1,1,NA,0,0,577,0,0,4.01,0,0,39,0,0.012164,0.177956,0,1,1,6,0,0,0,0,0,0,0,1,4,2302,0,1,0,NA,1,NA,0,0,0,0,0,14,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255315,1212,0,0,0,0,0,0
"83128",255,368,1939,152660,3,1,2,368,1,2846,0,1,1,0,0,578,0,0,4.01,0,0,39,0,0.000983,0.177956,0,1,1,6,0,0,0,0,0,0,0,1,4,134,0,1,0,NA,1,NA,0,0,0,0,0,14,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255368,1239,0,0,0,0,0,0
"83518",255,390,1864,409907,6,1,3,390,1,9194,0,1,1,0,0,164,0,1,4.01,1,0,64,0,0.003096,0.056731,0,1,4,6,0,0,1,194,0,0,0,5,5,194,0,1,0,NA,1,NA,6,NA,6,NA,20,20,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255390,1248,0,0,0,0,0,0
"84142",255,511,1888,NA,4,0,3,510,0,52000,0,1,1,0,0,312,0,0,4.01,1,1,88,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255511,1277,0,0,0,0,0,0
"86413",255,990,1899,33000,12,0,3,990,0,2823,0,1,1,0,0,389,0,0,4.01,1,1,99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255990,1363,0,0,0,0,0,0
"86432",260,1,1955,50200000,5,1,NA,260,NA,247476,1,NA,NA,1,0,665,0,0,4.01,NA,NA,55,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2601,1364,0,0,0,0,0,0
"86513",260,210,1963,NA,8,1,3,210,1,1,0,1,1,0,0,727,0,0,4.01,1,1,63,0,0.006585,0.03977,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260210,1367,0,0,0,0,0,0
"86542",260,211,1956,648,9,1,3,211,1,1,0,1,1,0,0,669,0,0,4.01,1,1,56,0,0.007979,0.037592,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260211,1368,0,0,0,0,0,0
"86615",260,220,1957,992000,1,1,3,256,1,2567,1,0,1,0,0,677,0,0,4.01,1,1,57,0,0.03273,0.037254,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260220,1370,0,0,0,0,0,0
"89660",290,255,1919,2700000,6,1,3,255,1,420000,0,1,1,0,0,484,0,1,4.01,1,0,19,0,0.076849,0.018802,0,0,1,6,0,0,0,0,0,0,0,4,4,1269,1,0,1,NA,0,NA,NA,NA,NA,NA,14,16,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290255,1439,1,1,1,0,0,0
"89663",290,255,1922,893074,8,1,3,255,1,3221,0,1,1,0,0,539,0,0,4.01,1,1,22,0,0.083896,0.018835,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290255,1439,0,0,0,0,0,0
"89681",290,255,1945,5022000,12,1,3,255,1,102556,0,1,1,0,0,592,0,1,4.01,1,0,45,0,0.079877,0.00978,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290255,1439,0,0,0,0,0,0
"89740",290,305,1919,8257505,9,1,3,300,1,80080,0,1,1,0,0,485,0,1,4.01,1,0,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290305,1443,0,0,0,0,0,0
"89742",290,315,1920,145241,7,1,3,315,1,1009,0,1,1,0,0,503,0,0,4.01,1,1,20,1,0.010699,0.027165,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290315,1444,0,0,1,0,0,0
"89760",290,315,1938,241698,10,1,2,315,1,1085,0,1,1,0,0,575,0,0,4.01,0,0,38,1,0.013048,0.019573,0,0,1,6,0,0,0,0,1,1244,124401,4,4,1244,0,1,0,NA,1,NA,0,0,0,0,16,14,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290315,1444,0,0,0,0,0,0
"89875",290,365,1921,3683568,3,1,3,365,1,113722,0,1,1,0,0,530,0,1,4.01,1,0,21,0,0.148514,0.021068,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290365,1449,0,0,1,0,0,0
"89900",290,365,1951,7000,5,1,3,365,1,240,0,1,1,0,0,650,0,0,4.01,1,1,51,0,0.173163,0.014259,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290365,1449,1,1,1,0,0,0
"89979",290,368,1920,2075700,10,1,3,368,1,29818,0,1,1,0,0,504,0,1,4.01,1,0,20,0,0.001488,0.027165,0,0,1,6,0,0,0,0,0,0,0,5,5,1272,0,1,0,NA,1,NA,5,NA,5,NA,20,20,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290368,1451,1,1,1,0,0,0
"93235",300,390,1864,544419,6,1,3,390,0,8534,0,1,0,0,0,165,0,1,4.01,1,0,64,0,0.003096,0.03972,0,1,6,6,0,0,1,194,0,0,0,5,5,194,0,0,0,NA,0,NA,6,NA,4,NA,20,20,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300390,1513,0,0,0,0,0,0
"93560",300,640,1878,2000,7,1,3,339,1,35,0,1,1,0,0,237,0,1,4.01,1,0,78,0,0.026685,0.045859,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300640,1518,1,1,1,0,0,0
"93798",300,2292,1846,141202,11,1,2,2292,1,1158,1,1,NA,0,0,98,0,0,4.01,0,0,46,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3002292,1524,0,0,0,0,0,0
"93799",305,1,1955,6947000,7,1,NA,305,NA,83869,1,NA,NA,1,0,666,0,0,4.01,NA,NA,55,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3051,1525,0,0,0,0,0,0
