"","loser","year","month","gaintype","procedur","entity","contgain","area","pop","portion","losetype","contlose","entry","exit","number","indep","conflict","version","agreement","v21","nonviolentagreement","year2","arbadj2","cap_1","cap_2","majpow1","majpow2","contig","colcont","colony1","colony2","cwongo","cwongonm","cwinit","cwinitnm","cwdynm","cwhost1","cwhost2","cwkeynum","cwrevis1","cwrevis2","cwrevt11","cwrevt21","cwrevt12","cwrevt22","cwfatal1","cwfatex1","cwfatal2","cwfatex2","cwhiact1","cwhiact2","cwoutcm","cwsettle","polity21","polity22","ter","panel","lead1","lagtc1","window5","window10","window20","dyad","rivnumb","rivalry","rivala","rivalb","beginr","endr","totdisp","rivtyp2","rivtypold","rivals"
"84",740,1945,9,NA,3,730,NA,220891,25100000,1,0,1,0,0,604,0,1,4.01,1,NA,0,45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,0,0,0,"1740",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"85",850,1999,10,NA,3,860,NA,14926,780000,1,1,1,0,0,877,0,1,4.01,1,NA,0,99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0,0,0,"1850",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"86",210,1871,2,0,3,452,0,27534,120000,0,0,0,0,0,204,0,0,4.01,1,NA,1,71,0,0.007452,0.241563,0,1,4,1,115,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3,0,595,0,NA,0,0,0,"200210",10392,200210,200,210,"1914","1917",3,"ISOLATED","ISOLATED",0
"89",200,1824,3,0,3,850,0,25089,93875,0,0,0,0,0,49,0,0,4.01,1,NA,1,24,0,0.329929,0.038843,1,0,4,1,110,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,792,0,NA,0,1,1,"210200",10392,200210,200,210,"1914","1917",3,"ISOLATED","ISOLATED",0
"92",210,1824,3,0,3,827,0,1658,77756,0,0,0,0,0,48,0,0,4.01,1,NA,1,24,0,0.038843,0.329929,0,1,4,1,115,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,595,0,NA,0,1,1,"200210",10392,200210,200,210,"1914","1917",3,"ISOLATED","ISOLATED",0
"95",211,1910,6,0,3,490,0,38850,250000,0,0,0,0,0,429,0,0,4.01,1,NA,1,10,0,0.014847,0.116317,0,1,4,1,490,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,596,0,NA,0,0,0,"200211",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"96",200,1906,5,0,3,625,0,38850,250000,0,0,0,0,0,418,0,0,4.01,1,NA,1,6,0,0.12338,0.014697,1,0,4,1,500,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,805,0,NA,0,0,0,"211200",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"97",200,1910,5,0,3,500,0,1,NA,0,0,0,0,0,431,0,0,4.01,1,NA,1,10,0,0.116317,0.014847,1,0,4,1,500,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,805,0,NA,0,0,0,"211200",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"98",200,1904,4,0,3,433,0,1,NA,0,0,0,0,0,407,0,0,4.01,1,NA,1,4,0,0.134842,0.070254,1,1,3,1,420,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,862,0,NA,0,0,0,"220200",396,200220,200,220,"1940","1941",1,"ISOLATED","ISOLATED",0
"101",200,1898,6,0,3,430,0,13000,NA,0,0,0,0,0,375,0,0,4.01,1,NA,1,98,0,0.157431,0.082132,1,1,3,1,420,433,1,152,1,77,7701,4,4,152,1,1,1,NA,1,NA,0,0,0,0,17,17,6,1,7,8,1,862,0,NA,0,0,0,"220200",396,200220,200,220,"1940","1941",1,"ISOLATED","ISOLATED",0
"104",220,1898,6,0,3,475,0,71500,NA,0,0,0,0,0,372,0,0,4.01,1,NA,1,98,1,0.082132,0.157431,1,1,3,1,433,420,1,152,0,0,0,4,4,152,1,1,1,NA,1,NA,0,0,0,0,17,17,6,1,8,7,1,598,0,NA,0,0,0,"200220",396,200220,200,220,"1940","1941",1,"ISOLATED","ISOLATED",0
"107",200,1817,NA,0,3,433,0,7819,100000,1,0,0,0,0,28,0,0,4.01,1,NA,1,17,0,0.327987,0.114489,1,1,3,1,420,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,862,0,NA,0,0,0,"220200",396,200220,200,220,"1940","1941",1,"ISOLATED","ISOLATED",0
"110",200,1843,NA,0,3,413,0,2034,18000,1,0,0,0,0,91,0,0,4.01,1,NA,1,43,0,0.298597,0.027025,1,0,6,1,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,0,1074,0,NA,0,0,0,"230200",402,200230,200,230,"1986","1986",1,"ISOLATED","ISOLATED",0
"115",230,1829,NA,0,3,413,0,2034,2300,1,0,0,0,0,61,0,0,4.01,1,NA,1,29,0,0.033772,0.323044,0,1,6,1,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,602,0,NA,0,0,0,"200230",402,200230,200,230,"1986","1986",1,"ISOLATED","ISOLATED",1
"120",200,1875,7,0,3,541,0,650,NA,0,0,0,0,0,223,0,0,4.01,1,NA,1,75,0,0.235515,0.005681,1,0,6,1,750,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,0,1094,0,NA,0,0,1,"235200",404,200235,200,235,"1889","1897",2,"ISOLATED","ISOLATED",1
"124",200,1899,11,0,3,452,0,1,NA,0,0,0,0,0,387,0,0,4.01,1,NA,1,99,0,0.168645,0.126722,1,1,5,1,452,460,0,0,1,237,23701,4,1,237,1,0,2,NA,0,NA,0,0,0,0,15,0,7,1,7,1,NA,1161,NA,NA,0,0,1,"255200",410,200255,200,255,"1887","1921",7,"RIVALRY","ENDURING",0
"128",255,1899,11,0,3,940,0,23310,89000,0,0,0,0,0,382,0,0,4.01,1,NA,1,99,0,0.126722,0.168645,1,1,5,1,460,452,0,0,0,0,0,1,4,237,0,1,0,NA,2,NA,0,0,0,0,0,15,7,1,1,7,NA,607,NA,NA,0,0,1,"200255",410,200255,200,255,"1887","1921",7,"RIVALRY","ENDURING",0
"132",255,1919,5,0,6,462,0,32634,188000,1,0,0,0,0,474,0,0,4.01,0,NA,0,19,0,0.076849,0.110973,0,1,5,6,0,0,0,0,0,0,0,4,4,1269,1,0,1,NA,0,NA,NA,NA,0,0,14,16,2,1,6,8,1,607,0,NA,0,0,1,"200255",410,200255,200,255,"1887","1921",7,"RIVALRY","ENDURING",1
"136",200,1890,NA,0,3,565,0,18200,NA,0,0,0,0,0,330,0,0,4.01,1,NA,1,90,0,0.179475,0.125959,1,1,5,1,452,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1161,0,NA,0,0,0,"255200",410,200255,200,255,"1887","1921",7,"RIVALRY","ENDURING",0
"140",255,1890,7,0,3,501,0,3120,NA,0,0,0,0,0,325,0,0,4.01,1,NA,1,90,0,0.125959,0.179475,1,1,5,1,460,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,607,0,NA,0,0,0,"200255",410,200255,200,255,"1887","1921",7,"RIVALRY","ENDURING",0
"144",255,1920,1,0,6,510,0,939361,5000000,1,0,0,0,0,501,0,0,4.01,0,NA,0,20,0,0.072021,0.127636,0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,607,NA,462,0,0,1,"200255",410,200255,200,255,"1887","1921",7,"RIVALRY","ENDURING",1
"148",325,1897,12,0,3,625,0,1,NA,0,0,0,0,0,361,0,0,4.01,1,NA,1,97,0,0.03087,0.165821,1,1,6,1,5200,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,7,0,623,0,NA,0,0,0,"200325",422,200325,200,325,"1927","1943",7,"RIVALRY","PROTO",0
"151",200,1924,7,0,3,501,0,85470,12000,0,0,0,0,0,545,0,0,4.01,1,NA,1,24,0,0.107154,0.034937,1,1,6,1,625,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA,0,1607,0,NA,0,0,1,"325200",422,200325,200,325,"1927","1943",7,"RIVALRY","PROTO",0
"154",200,1892,NA,0,3,520,0,10000,NA,0,0,0,0,0,337,0,0,4.01,1,NA,1,92,0,0.172999,0.034046,1,1,6,1,521,5200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,NA,0,1607,0,NA,0,0,0,"325200",422,200325,200,325,"1927","1943",7,"RIVALRY","PROTO",0
"157",200,1913,12,1,2,351,1,8715,342151,1,0,NA,0,0,447,0,0,4.01,0,NA,0,13,0,0.112749,0.007342,1,0,6,5,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,1817,0,NA,0,0,0,"350200",430,200350,200,350,"1916","1922",2,"ISOLATED","ISOLATED",0
"161",200,1864,6,1,3,349,1,2608,234123,1,0,0,0,0,166,0,0,4.01,1,NA,1,64,0,0.243395,0.000835,1,0,6,5,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,1817,0,NA,0,0,0,"350200",430,200350,200,350,"1916","1922",2,"ISOLATED","ISOLATED",0
"165",200,1928,1,0,3,9993,0,48,0,1,0,0,0,0,556,0,0,4.01,1,NA,1,28,0,0.083026,0.001506,1,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,2208,0,NA,0,0,0,"385200",444,200385,200,385,"1914","1914",1,"ISOLATED","ISOLATED",1
"167",390,1850,8,0,3,452,0,40,40000,0,0,0,0,0,109,0,0,4.01,1,NA,1,50,0,0.00505,0.304171,0,1,5,2,5,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,656,0,NA,0,0,0,"200390",447,200390,200,390,"1940","1940",1,"ISOLATED","ISOLATED",1
"169",450,1911,NA,0,3,450,0,800,NA,0,1,1,0,0,433,0,0,4.01,1,NA,1,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,671,0,NA,0,0,0,"200450",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
