"","loser","year","month","gaintype","procedur","entity","contgain","area","pop","portion","losetype","contlose","entry","exit","number","indep","conflict","version","agreement","v21","nonviolentagreement","year2","arbadj2","cap_1","cap_2","majpow1","majpow2","contig","colcont","colony1","colony2","cwongo","cwongonm","cwinit","cwinitnm","cwdynm","cwhost1","cwhost2","cwkeynum","cwrevis1","cwrevis2","cwrevt11","cwrevt21","cwrevt12","cwrevt22","cwfatal1","cwfatex1","cwfatal2","cwfatex2","cwhiact1","cwhiact2","cwoutcm","cwsettle","polity21","polity22","ter","panel","lead1","lagtc1","window5","window10","window20","dyad","rivnumb","rivalry","rivala","rivalb","beginr","endr","totdisp","rivtyp2","rivtypold","rivals"
"254",210,1859,4,0,3,860,0,18989,850300,1,0,0,0,0,136,0,0,4.01,1,NA,1,59,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1095,NA,NA,0,0,0,"235210",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"255",210,1963,8,1,3,210,1,1,NA,0,1,1,0,0,727,0,0,4.01,1,NA,1,63,0,0.006585,0.03977,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,1353,0,NA,0,0,0,"260210",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"256",260,1949,4,1,3,260,1,78,9000,0,1,1,0,0,634,0,0,4.01,1,NA,1,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,798,0,NA,0,0,0,"210260",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"257",210,1963,5,1,3,851,1,412781,751000,1,0,0,0,0,734,0,1,4.01,1,NA,0,63,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3711,NA,NA,0,0,0,"850210",504,210850,210,850,"1951","1962",7,"RIVALRY","PROTO",0
"258",211,1894,8,0,3,490,0,1,NA,0,0,0,0,0,347,0,0,4.01,1,NA,1,94,0,0.016917,0.093133,0,1,1,1,490,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,865,0,NA,0,0,0,"220211",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"259",211,1891,5,0,3,490,0,1,NA,0,0,0,0,0,334,0,0,4.01,1,NA,1,91,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1096,NA,490,0,0,0,"235211",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"260",235,1927,7,0,3,540,0,3,NA,0,0,0,0,0,552,0,0,4.01,1,NA,1,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,809,NA,540,0,0,0,"211235",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"261",211,1885,2,0,3,490,0,7298,NA,0,0,0,0,0,284,0,0,4.01,1,NA,1,85,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1096,NA,NA,0,0,0,"235211",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"262",211,1927,7,0,3,490,0,3500,NA,0,0,0,0,0,553,0,0,4.01,1,NA,1,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1096,NA,490,0,0,0,"235211",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"263",235,1891,5,0,3,540,0,1,NA,0,0,0,0,0,333,0,0,4.01,1,NA,1,91,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,809,NA,NA,0,0,0,"211235",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"264",255,1949,4,1,3,255,1,18,NA,0,1,1,0,0,635,0,0,4.01,1,NA,1,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,810,0,NA,0,0,0,"211255",507,211255,211,255,"1914","1940",8,"RIVALRY","ENDURING",0
"266",255,1924,10,0,6,515,0,54222,3000000,1,0,0,0,0,543,0,0,4.01,0,NA,0,24,0,0.079637,0.015122,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,810,0,NA,0,0,1,"211255",507,211255,211,255,"1914","1940",8,"RIVALRY","ENDURING",0
"268",255,1919,6,1,3,255,1,1000,61000,0,1,1,0,0,476,0,1,4.01,1,NA,0,19,0,0.076849,0.00905,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,810,NA,NA,0,0,1,"211255",507,211255,211,255,"1914","1940",8,"RIVALRY","ENDURING",1
"270",211,1956,9,1,3,211,1,1,648,0,1,1,0,0,669,0,0,4.01,1,NA,1,56,0,0.007979,0.037592,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,1354,0,NA,0,0,0,"260211",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"271",21,1933,12,0,3,21,0,404519,289516,1,1,NA,0,0,563,0,0,4.01,1,NA,1,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,560,NA,NA,0,0,0,"20021",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"272",255,1949,4,1,3,255,1,6,NA,0,1,1,0,0,636,0,0,4.01,1,NA,1,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,821,0,NA,0,0,0,"212255",522,212255,212,255,"1939","1940",1,"ISOLATED","ISOLATED",0
"273",255,1919,6,1,3,255,1,3,NA,0,1,1,0,0,477,0,0,4.01,1,NA,1,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,821,0,NA,0,0,1,"212255",522,212255,212,255,"1939","1940",1,"ISOLATED","ISOLATED",1
"274",200,1903,10,1,3,20,1,1,NA,0,0,0,0,0,399,0,0,4.01,1,NA,1,3,0,0.142978,0.2105,1,1,6,1,20,3,1,254,0,0,0,4,3,254,1,0,2,NA,0,NA,0,0,0,0,16,7,6,1,8,10,NA,41,0,NA,0,0,0,"2200",41,2200,2,200,"1837","1861",8,"RIVALRY","ENDURING",0
"278",2,1846,6,0,3,2,0,429536,89000,0,1,1,0,0,97,0,0,4.01,1,NA,1,46,0,0.082757,0.302888,0,1,6,1,0,20,0,0,0,0,0,1,3,373,1,1,1,NA,1,NA,0,0,0,0,0,7,6,1,10,3,1,558,0,NA,0,0,0,"2002",41,2200,2,200,"1837","1861",8,"RIVALRY","ENDURING",0
"282",200,1872,10,1,3,20,1,NA,NA,0,0,0,0,0,212,0,0,4.01,1,NA,1,72,0,0.237755,0.115283,1,0,6,1,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,41,0,NA,0,1,1,"2200",41,2200,2,200,"1837","1861",8,"RIVALRY","ENDURING",0
"286",2,1842,8,0,3,2,0,12950,NA,0,1,1,0,0,83,0,0,4.01,1,NA,1,42,0,0.049301,0.297635,0,1,6,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,558,0,NA,1,1,1,"2002",41,2200,2,200,"1837","1861",8,"RIVALRY","ENDURING",0
"290",2,1818,10,0,3,2,0,41600,NA,0,1,1,0,0,32,0,0,4.01,1,NA,1,18,0,0.036127,0.329248,0,1,6,1,0,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,NA,0,558,0,NA,0,0,0,"2002",41,2200,2,200,"1837","1861",8,"RIVALRY","ENDURING",0
"294",200,1846,6,1,3,20,1,739652,13323,0,0,0,0,0,96,0,0,4.01,1,NA,1,46,0,0.302888,0.082757,1,0,6,1,20,0,0,0,1,373,37301,3,1,373,1,1,1,NA,1,NA,0,0,0,0,7,0,6,1,3,10,1,41,0,NA,0,0,0,"2200",41,2200,2,200,"1837","1861",8,"RIVALRY","ENDURING",0
"298",200,1818,10,1,3,20,1,84240,NA,0,0,0,0,0,30,0,0,4.01,1,NA,1,18,0,0.329248,0.036127,1,0,6,1,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,9,0,41,0,NA,0,0,0,"2200",41,2200,2,200,"1837","1861",8,"RIVALRY","ENDURING",0
"302",200,1842,8,1,3,20,1,18130,NA,0,0,0,0,0,82,0,0,4.01,1,NA,1,42,0,0.297635,0.049301,1,0,6,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,41,0,NA,1,1,1,"2200",41,2200,2,200,"1837","1861",8,"RIVALRY","ENDURING",0
"306",221,1861,NA,1,2,221,1,2,NA,0,1,1,0,0,154,0,0,4.01,0,NA,0,61,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,867,0,NA,0,0,0,"220221",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"307",220,1916,NA,0,3,602,0,33020,9836,0,0,0,0,0,461,0,0,4.01,1,NA,1,16,0,0.085814,0.009936,1,0,1,1,615,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,1075,0,NA,0,0,0,"230220",527,220230,220,230,"1940","1940",2,"ISOLATED","ISOLATED",0
"311",220,1911,11,0,3,470,0,259000,1000000,0,0,0,0,0,435,0,0,4.01,1,NA,1,11,0,0.071319,0.137318,1,1,1,1,432,460,0,0,0,0,0,1,3,315,0,1,0,NA,1,NA,0,0,0,0,0,7,6,1,8,2,1,1166,0,NA,0,0,0,"255220",10531,220255,220,255,"1830","1940",20,"RIVALRY","ENDURING",1
"312",255,1919,5,0,6,471,0,432012,1500000,1,0,0,0,0,479,0,0,4.01,0,NA,0,19,0,0.076849,0.061322,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,875,NA,NA,0,0,1,"220255",10531,220255,220,255,"1830","1940",20,"RIVALRY","ENDURING",1
"313",220,1871,12,1,3,220,1,14452,1549459,0,1,1,0,0,206,0,1,4.01,1,NA,0,71,0,0.137323,0.119848,1,1,1,6,0,0,1,88,1,2169,216901,5,5,88,0,1,0,NA,4,NA,6,NA,6,NA,20,20,2,2,NA,NA,NA,1166,0,NA,0,0,0,"255220",10531,220255,220,255,"1830","1940",20,"RIVALRY","ENDURING",0
"314",255,1949,4,1,3,255,1,7,NA,0,1,1,0,0,637,0,0,4.01,1,NA,1,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,875,0,NA,0,0,0,"220255",10531,220255,220,255,"1830","1940",20,"RIVALRY","ENDURING",0
"315",220,1935,3,1,5,256,1,1912,812030,1,0,1,0,0,569,0,0,4.01,0,NA,0,35,0,0.051832,0.102587,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA,0,1166,NA,NA,1,1,1,"255220",10531,220255,220,255,"1830","1940",20,"RIVALRY","ENDURING",0
"316",220,1957,1,1,3,256,1,2567,992000,1,0,1,0,0,677,0,0,4.01,1,NA,1,57,0,0.03273,0.037254,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,1356,0,NA,0,0,0,"260220",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"317",260,1947,10,1,2,256,1,2567,874000,1,1,1,0,0,613,0,0,4.01,0,NA,0,47,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,876,0,NA,0,0,0,"220260",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"318",325,1860,3,1,3,325,1,14778,NA,0,1,1,0,0,142,0,0,4.01,1,NA,1,60,0,0.028628,0.12208,1,1,1,6,0,0,0,0,0,0,0,5,3,113,1,0,1,NA,0,NA,5,NA,0,0,20,7,1,2,NA,NA,1,891,1,NA,1,1,1,"220325",543,220325,220,325,"1911","1912",2,"ISOLATED","ISOLATED",1
"322",325,1947,2,1,3,325,1,1,NA,0,1,1,0,0,612,0,1,4.01,1,NA,0,47,0,0.018208,0.034979,0,1,1,4,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,891,0,NA,0,0,0,"220325",543,220325,220,325,"1911","1912",2,"ISOLATED","ISOLATED",1
"326",220,1934,NA,0,3,625,0,1,NA,0,0,0,0,0,566,0,0,4.01,1,NA,1,34,0,0.057532,0.035119,1,1,1,1,436,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA,0,1612,0,NA,0,1,1,"325220",543,220325,220,325,"1911","1912",2,"ISOLATED","ISOLATED",0
"330",220,1935,1,0,3,522,0,800,NA,0,0,0,0,0,570,0,0,4.01,1,NA,1,35,0,0.051832,0.051195,1,1,1,1,436,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA,0,1612,0,625,1,1,1,"325220",543,220325,220,325,"1911","1912",2,"ISOLATED","ISOLATED",0
"334",220,1919,9,0,3,616,1,1,NA,0,0,0,0,0,488,0,0,4.01,1,NA,1,19,0,0.061322,0.04499,1,1,1,1,436,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,NA,0,1612,0,NA,0,0,0,"325220",543,220325,220,325,"1911","1912",2,"ISOLATED","ISOLATED",1
"338",580,1819,NA,0,2,580,0,1,NA,0,1,1,0,0,38,0,0,4.01,0,NA,0,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,970,NA,NA,0,0,0,"220580",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"339",580,1885,12,0,3,580,0,250,12237,0,1,1,0,0,280,0,1,4.01,1,NA,0,85,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,970,NA,580,0,0,0,"220580",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"340",220,1825,NA,1,1,580,1,1,NA,0,0,0,0,0,52,0,0,4.01,0,NA,0,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2728,0,NA,0,0,0,"580220",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"341",580,1896,12,0,1,580,0,590000,3500000,1,1,NA,0,0,359,0,1,4.01,0,NA,0,96,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,970,0,580,0,0,0,"220580",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"342",581,1976,2,0,4,5812,0,374,38000,1,1,1,0,0,803,0,0,4.01,0,NA,0,76,0,1.6e-05,0.02339,0,1,6,4,0,5812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,971,0,NA,0,0,0,"220581",569,220581,220,581,"1989","1989",1,"ISOLATED","ISOLATED",1
"343",600,1907,8,0,1,600,0,100,NA,0,1,1,0,0,422,0,0,4.01,0,NA,0,7,0,0.001253,0.070361,0,1,6,1,0,615,0,0,0,0,0,4,4,86,0,1,0,NA,2,NA,NA,NA,NA,NA,17,14,1,3,NA,8,NA,974,NA,NA,1,1,1,"220600",571,220600,220,600,"1960","1960",1,"ISOLATED","ISOLATED",0
"345",220,1910,3,1,3,600,1,100,NA,0,0,0,0,0,432,0,0,4.01,1,NA,1,10,0,0.070468,0.001222,1,0,6,1,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,NA,0,2757,1,NA,1,1,1,"600220",571,220600,220,600,"1960","1960",1,"ISOLATED","ISOLATED",0
"347",600,1903,NA,0,1,600,0,499870,62000,0,1,1,0,0,405,0,1,4.01,0,NA,0,3,0,0.0014,0.072876,0,1,6,1,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,974,NA,NA,0,1,1,"220600",571,220600,220,600,"1960","1960",1,"ISOLATED","ISOLATED",0
"349",600,1912,3,0,2,600,0,398523,5400000,0,1,NA,0,0,437,0,0,4.01,0,NA,0,12,0,3.9e-05,0.072231,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,974,0,NA,0,0,0,"220600",571,220600,220,600,"1960","1960",1,"ISOLATED","ISOLATED",0
"351",616,1881,5,0,1,616,0,116348,2100000,1,1,NA,0,0,257,0,0,4.01,0,NA,0,81,0,0.001133,0.110536,0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,7,0,976,0,NA,0,0,0,"220616",572,220616,220,616,"1957","1961",5,"RIVALRY","PROTO",1
"352",620,1955,NA,0,3,620,0,26000,NA,0,1,1,0,0,664,0,0,4.01,1,NA,1,55,0,0.00019,0.030631,0,1,6,1,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,10,0,977,0,NA,0,0,0,"220620",573,220620,220,620,"1978","1987",6,"RIVALRY","PROTO",1
"353",640,1920,4,0,6,652,0,184920,1969004,1,1,1,0,0,502,0,0,4.01,0,NA,0,20,0,0.005222,0.058175,0,1,6,1,0,652,1,3134,0,0,0,5,5,3134,0,1,0,NA,1,NA,6,NA,6,NA,20,20,2,1,NA,9,1,980,1,NA,1,1,1,"220640",575,220640,220,640,"1827","1833",3,"RIVALRY","PROTO",1
"356",640,1830,9,0,1,615,0,275317,73200,0,1,1,0,0,65,0,0,4.01,0,NA,0,30,0,0.054353,0.140124,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,980,0,NA,0,0,0,"220640",575,220640,220,640,"1827","1833",3,"RIVALRY","PROTO",0
"359",220,1939,6,1,3,652,1,5312,273350,0,0,0,0,0,583,0,0,4.01,1,NA,1,39,0,0.039596,0.005359,1,0,6,1,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA,0,2840,0,NA,0,0,0,"640220",575,220640,220,640,"1827","1833",3,"RIVALRY","PROTO",1
"362",220,1950,12,1,3,751,1,10,44786,0,0,0,0,0,648,0,0,4.01,1,0,1,50,0,0.033222,0.049562,1,0,6,1,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,3544,0,NA,0,0,0,"750220",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"363",220,1954,11,1,3,751,1,503,323000,1,0,0,0,0,660,0,0,4.01,1,NA,1,54,0,0.032968,0.046495,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,3544,0,NA,0,0,0,"750220",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"364",220,1907,3,1,3,810,1,35641,NA,0,0,0,0,0,424,0,0,4.01,1,NA,1,7,0,0.070361,0.003131,1,0,6,1,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,NA,0,3623,0,NA,0,0,0,"800220",596,220800,220,800,"1940","1952",4,"RIVALRY","PROTO",0
"366",800,1904,2,0,3,800,0,20720,NA,0,1,1,0,0,409,0,0,4.01,1,NA,1,4,0,0.002652,0.070254,0,1,6,1,0,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,1017,0,NA,0,0,0,"220800",596,220800,220,800,"1940","1952",4,"RIVALRY","PROTO",0
"368",220,1867,NA,1,3,811,1,35641,NA,0,0,0,0,0,195,0,0,4.01,1,NA,1,67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3623,0,NA,0,1,1,"800220",596,220800,220,800,"1940","1952",4,"RIVALRY","PROTO",0
"370",800,1907,3,0,3,800,0,18130,NA,0,1,1,0,0,423,0,0,4.01,1,NA,1,7,0,0.003131,0.070361,0,1,6,1,0,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,1017,0,NA,0,0,0,"220800",596,220800,220,800,"1940","1952",4,"RIVALRY","PROTO",0
"372",220,1904,2,1,3,810,1,6076,NA,0,0,0,0,0,411,0,0,4.01,1,NA,1,4,0,0.070254,0.002652,1,0,6,1,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,NA,0,3623,0,NA,0,0,0,"800220",596,220800,220,800,"1940","1952",4,"RIVALRY","PROTO",0
"374",811,1863,12,0,2,811,0,83861,1000000,1,1,NA,0,0,161,0,0,4.01,0,NA,0,63,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1018,0,NA,0,0,0,"220811",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"375",812,1893,12,0,1,812,0,255000,600000,1,1,NA,0,0,342,0,1,4.01,0,NA,0,93,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1019,0,NA,0,0,0,"220812",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"376",815,1862,6,0,3,8151,0,22380,502116,0,1,1,0,0,158,0,1,4.01,1,NA,0,62,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020,NA,NA,0,0,0,"220815",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"377",815,1867,NA,0,1,8151,0,33864,477000,0,1,1,0,0,181,0,1,4.01,0,NA,0,67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020,NA,8151,0,0,0,"220815",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"378",815,1874,3,0,1,8151,0,33864,477000,0,1,1,0,0,220,0,1,4.01,0,NA,0,74,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020,NA,8151,0,0,0,"220815",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"379",815,1883,8,0,2,815,0,90000,9000000,1,1,NA,0,0,264,0,1,4.01,0,NA,0,83,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020,NA,8151,0,0,0,"220815",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"380",2,1928,4,0,3,850,0,1,NA,0,0,0,0,0,555,0,0,4.01,1,NA,1,28,0,0.240072,0.005752,1,0,6,4,5,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,791,0,NA,0,0,0,"2102",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"381",230,1898,12,0,3,6,0,8860,953243,1,0,0,0,0,369,0,1,4.01,1,NA,0,98,0,0.017012,0.197062,0,1,6,4,9820,985,0,0,0,0,0,5,5,1557,0,1,0,NA,1,NA,6,NA,6,NA,20,20,1,2,4,10,1,50,0,40,0,0,0,"2230",10050,2230,2,230,"1850","1898",13,"RIVALRY","ENDURING",0
"383",230,1819,2,1,3,40,1,186488,54477,0,0,0,0,0,36,0,0,4.01,1,NA,1,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1,NA,1,1,1,"2230",10050,2230,2,230,"1850","1898",13,"RIVALRY","ENDURING",0
"385",230,1821,11,0,3,165,0,269810,70000,1,0,0,0,0,43,0,0,4.01,1,NA,1,21,0,0.034272,0.009983,0,0,1,1,145,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,1098,0,NA,0,0,0,"235230",606,230235,230,235,"1840","1841",1,"ISOLATED","ISOLATED",1
"387",230,1899,12,0,3,980,0,405,15069,0,0,0,0,0,388,0,0,4.01,1,NA,1,99,0,0.016422,0.126722,0,1,6,1,411,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1170,0,NA,0,0,0,"255230",609,230255,230,255,"1915","1919",2,"ISOLATED","ISOLATED",0
"390",230,1976,4,1,3,609,1,88667,NA,0,0,0,0,0,804,0,0,4.01,1,NA,1,76,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2316,NA,NA,0,0,0,"435230",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
